feature,label,confidence,polysemantic,bal_acc,f1,fire_count,notes
16,Headwear and hats,0.85,False,1.0,1.0,,"Nearly all images prominently feature various types of headwear including caps, helmets, hats, and head coverings worn by people."
18,Daisy flowers with yellow centers,0.95,False,1.0,1.0,,All images consistently show daisy-like flowers characterized by white or light purple petals radiating from prominent yellow disk centers.
84,Dianthus flowers with contrasting bicolor petals,0.92,False,1.0,1.0,,"All images show clustered small flowers characteristic of Dianthus (pinks/carnations) with distinctive two-toned or contrasting colored petals, often with dark centers and lighter edges."
71,Windswept coastal trees overlooking water,0.92,False,1.0,1.0,,"All images feature distinctively wind-shaped, gnarled trees (primarily cypress or similar species) positioned on coastal cliffs or rocky shores overlooking ocean or large bodies of water."
109,Dried corn cobs hanging,0.92,False,1.0,1.0,,"All images show dried maize/corn cobs arranged in bundles, braids, or hanging displays, primarily in yellow and orange tones."
52,Large green leaves and foliage,0.92,False,1.0,1.0,,"Images consistently feature prominent large-leafed plants like squash, zucchini, or similar vegetables with expansive green foliage in garden settings."
77,White flowers with yellow stamens,0.95,False,1.0,1.0,,"All 16 images show small white flowers with prominent yellow/golden central stamens, appearing to be woodland anemones or similar delicate spring flowering plants."
20,White drooping bell-shaped flowers,0.92,False,1.0,1.0,,"All images show clustered, pendulous white flowers with characteristic bell or tubular shapes, typical of plants like Dicentra or Lamprocapnos species."
116,Cabbage heads,0.98,False,1.0,1.0,,"All images show the characteristic round, leafy heads of cabbage plants at various stages of growth and maturity, viewed from above."
130,Wine bottles,0.98,False,1.0,1.0,,"All images show wine bottles of various colors (green, brown, clear glass) with visible labels, consistently photographed from above or at angles that emphasize the bottle shape and labeling."
40,Orange citrus fruits,0.95,False,1.0,1.0,,"All images show oranges or mandarin-type citrus fruits, either whole or cross-sectioned, with characteristic orange coloring and segmented flesh visible in many examples."
134,Light switches and electrical outlets,0.95,False,1.0,1.0,,"All images show wall-mounted switches or switch plates in various states of wear and aesthetic contexts, from pristine to aged and weathered."
136,White flowering plants in vertical spikes,0.92,False,1.0,1.0,,"Nearly all images show white or pale flowers arranged in tall, densely-packed vertical flower spikes characteristic of plants like liatris, astilbe, or similar inflorescences."
19,Small clustered flowers in gardens,0.92,False,1.0,1.0,,"All images show dense clusters of small delicate flowers, predominantly blue, purple, and white varieties (like lavender, forget-me-nots, and similar flowering plants) in natural or garden settings."
138,Purple lavender flowers,0.98,False,1.0,1.0,,"All 16 images feature purple/violet flowering plants with characteristic spiky inflorescences, predominantly lavender varieties in various garden settings."
117,Tree trunk bark texture,0.92,False,1.0,1.0,,"The feature consistently activates on close-up views of tree bark, particularly the textured surfaces and patterns of woody trunks."
41,White clustered flower inflorescences,0.95,False,1.0,1.0,,"All images show dense, white or pale flowering structures with small clustered blooms arranged in elongated or rounded panicles, characteristic of plants like spiraea or similar flowering shrubs."
161,Female face portrait photography,0.92,False,1.0,1.0,,"All images feature close-up portraits of women's faces with various lighting, styling, and photographic treatments."
95,Daffodil flowers,0.95,False,1.0,1.0,,All images show daffodils/narcissus flowers with characteristic trumpet-shaped coronas and yellow or white petals.
105,Yellow flowers clustered together,0.95,False,1.0,1.0,,"All images show dense clusters of bright yellow flowers with similar petal structures, consistently recognizable across various lighting and compositional conditions."
139,Office task chairs,0.95,False,1.0,1.0,,"All images show wheeled office chairs with adjustable seats and backs, used in workspace environments."
163,wooden flooring surfaces,0.98,False,1.0,1.0,,"All images show wood floors with varying finishes, colors, and styles ranging from light laminate to dark hardwood."
111,Concentric rings fungal fruiting bodies,0.95,False,1.0,1.0,,All images show shelf fungi or bracket fungi displaying characteristic concentric circular ring patterns in cross-section or top-down views.
190,Spiky thistle flowers and seed heads,0.92,False,1.0,1.0,,"All images show thistle-like flowers or plants with characteristic spiky, radiating bristles and purple, pink, yellow, or white coloring."
