feature,label,confidence,polysemantic,bal_acc,f1,fire_count,notes
58,Yellow crop fields,0.92,False,1.0,1.0,,"The feature consistently activates on bright yellow agricultural fields, predominantly rapeseed/canola crops with their characteristic vibrant yellow color."
42,elongated seed or grain texture,0.92,False,1.0,1.0,,"The feature consistently activates on close-up views of various seeds and grains with elongated, oval morphologies including rice, millet, sunflower seeds, and similar cereal crops."
10,Vehicle wheel and tire assembly,0.92,False,1.0,1.0,,"The feature consistently highlights the wheels/tires of vehicles across cars, vans, and trucks in various contexts."
40,Bottle shoulder and neck transition,0.92,False,1.0,1.0,,All highlighted regions mark the upper shoulder-to-neck area of wine bottles where the bottle profile curves and narrows.
15,tripod head connection joint,0.85,False,1.0,1.0,,"The red highlights consistently mark the junction/attachment point where the instrument head connects to the tripod legs, specifically the red mounting bracket or ball head interface."
69,flower center stamen filaments,0.92,False,1.0,1.0,,"The feature consistently highlights the central reproductive structures of flowers, particularly the stamens and pistils that radiate from the flower's core."
46,Fine wispy grass or feathery foliage,0.85,False,1.0,1.0,,"The feature consistently highlights thin, delicate, thread-like plant structures with a feathery or wispy appearance across multiple vegetation types."
52,Reflexed or recurved flower petals,0.92,False,1.0,1.0,,"The feature consistently highlights lily flowers with characteristic backward-curling or swept-back petals, particularly tiger lilies and similar species with prominent recurved petal morphology."
50,Luggage suitcase body panel,0.92,False,1.0,1.0,,The feature consistently fires on the main exterior panel/body of hard-sided luggage and suitcases across various colors and conditions.
108,Red bell pepper strips,0.92,False,1.0,1.0,,"The feature consistently highlights thin, elongated red pepper pieces across diverse food dishes, recognizing their distinctive color and linear shape."
124,Flower seed head center disk,0.95,False,1.0,1.0,,"The feature consistently highlights the dense, bumpy central disk of composite flowers (primarily sunflowers and daisies), characterized by tightly packed seeds or florets arranged in circular patterns."
139,Gothic arched window tracery,0.92,False,1.0,1.0,,The feature consistently highlights the pointed arch frames and geometric stone/lead tracery patterns characteristic of Gothic ecclesiastical windows.
153,Rust and oxidized metal surfaces,0.92,False,1.0,1.0,,"The highlighted regions consistently show reddish-brown rust, corrosion, and oxidized metal patinas across various metal objects and structures."
152,Thistle flower bloom center,0.92,False,1.0,1.0,,"The feature consistently highlights the dense, spiky central disk florets of thistle flowers, regardless of color or bloom stage."
95,Climbing ivy and vines,0.92,False,1.0,1.0,,"The feature consistently highlights dense, vertically-growing vegetation that covers surfaces, particularly ivy, creeping vines, and climbing plants on walls, trees, or structures."
184,Bright yellow-orange flame bursts,0.95,False,1.0,1.0,,"The feature consistently activates on intense, luminous fire and explosion regions characterized by bright yellow-orange coloration and dynamic flame formations."
190,dried red chili peppers,0.92,False,1.0,1.0,,"All highlighted regions consistently show the elongated, wrinkled texture and vibrant red color characteristic of dried chili peppers, either whole or in processed form."
157,child's hair or head region,0.92,False,1.0,1.0,,"All highlighted regions consistently mark the top of children's heads, focusing on hair and the upper head area across different poses and lighting conditions."
191,Radial fan-like leaf structure,0.92,False,1.0,1.0,,The feature consistently activates on palm fronds and similar plants with leaves radiating outward from a central point in a distinctive fan or starburst pattern.
202,Dense clustered small spherical structures,0.92,False,1.0,1.0,,"The feature consistently fires on tightly packed, rounded, bubble-like or berry-like formations, whether moss, lichen, coral polyps, or berry clusters."
200,Green plant stem base junction,0.92,False,1.0,1.0,,"The feature consistently highlights the region where green plant stems emerge from or connect to a lighter-colored base (bulb, soil, or root structure), capturing the transition zone between stem and root/base."
276,Shoe tongue or collar area,0.85,False,1.0,1.0,,The red highlights consistently mark the tongue region or upper collar/opening area of sneakers and athletic shoes across diverse shoe styles and colors.
270,Bread crumb interior texture,0.92,False,1.0,1.0,,"The feature consistently highlights the porous, airy crumb structure inside bread loaves across various bread types and cross-sections."
187,facial cheekbones and cheek area,0.85,False,1.0,1.0,,The red highlights consistently mark the cheek and cheekbone region of human faces across all portrait images.
286,Text plaques and inscribed markers,0.92,False,1.0,1.0,,"The feature consistently fires on rectangular plaques with engraved or printed text, including memorial markers, historical signs, and commemorative plates."
267,Electrical wire or cable connector,0.85,False,1.0,1.0,,"The feature consistently highlights junction points where electrical cables terminate, connect, or meet connectors, showing the ends and connection interfaces of wires and cables."
262,Stacked media storage spines,0.92,False,1.0,1.0,,"The feature consistently fires on the text-labeled spines of stacked DVDs, video games, books, and media cases arranged vertically or horizontally."
322,Fine radiating filaments and stamens,0.92,False,1.0,1.0,,"The feature consistently highlights the delicate, hair-like reproductive structures (stamens and staminodes) that radiate outward from the center of flowers."
293,Tree canopy foliage and branches,0.92,False,1.0,1.0,,The feature consistently highlights leafy tree canopies and branch structures across diverse backgrounds and lighting conditions.
305,wildflower meadows and flowering fields,0.95,False,1.0,1.0,,"The feature consistently activates on dense clusters of blooming wildflowers in open field/meadow settings, particularly emphasizing the colorful flower petals and flowering vegetation."
235,Leaf surfaces and foliage,0.92,False,1.0,1.0,,The feature consistently activates on visible leaf textures and green foliage across diverse plant species and lighting conditions.
280,Dense fine-textured foliage,0.92,False,1.0,1.0,,"The feature consistently activates on small-leafed, densely packed vegetation with uniform fine texture, regardless of plant species or color."
379,Flower stamens and central disk,0.92,False,1.0,1.0,,"The feature consistently highlights the central reproductive structures (stamens and disk florets) of composite flowers, particularly in blue/purple daisy-like flowers."
399,translucent liquid beverage surface,0.92,False,1.0,1.0,,"The feature consistently highlights the visible liquid surface or meniscus of various drinks, capturing the transparent or semi-transparent top portion of beverages in glasses."
328,knife blade or sharp metallic edge,0.92,False,1.0,1.0,,"The highlighted regions consistently mark exposed blade surfaces, folded knife edges, and metallic cutting implements across various multi-tool and pocket knife designs."
349,Wine bottle neck and shoulder,0.92,False,1.0,1.0,,The feature consistently activates on the upper narrow portion of wine bottles where the neck transitions to the wider shoulder area.
373,flower center disc stamens,0.92,False,1.0,1.0,,"The feature consistently highlights the dense central disk/stamen region of flowers, particularly where stamens cluster in the flower's center."
426,leaf veins and venation patterns,0.85,False,1.0,1.0,,"The highlighted regions consistently mark areas where leaf vein structures and venation patterns are visible, either as prominent veins crossing the leaf surface or fine vein networks."
441,Flower centers and stamen radiating patterns,0.92,False,1.0,1.0,,"The feature consistently highlights the central disk and radiating filaments/stamens of flowers, particularly in Dianthus and similar clustered flowers."
482,feathery tentacle structures,0.92,False,1.0,1.0,,"The feature consistently highlights elongated, feather-like or hair-like radiating appendages characteristic of marine organisms like sea anemones and worms."
480,chair armrests and frame structure,0.85,False,1.0,1.0,,"The feature consistently activates on the wooden or metal armrests and structural frame elements of chairs, particularly where vertical supports and horizontal armrest rails meet."
476,Product labels and tags on objects,0.92,False,1.0,1.0,,"The feature consistently highlights rectangular paper labels, tags, and text-bearing elements attached to or placed on packaged products, textiles, and containers."
448,vehicle wheels and tires,0.92,False,1.0,1.0,,The red highlights consistently mark the wheel and tire regions across all military and utility vehicles in the montage.
446,Digital display screen on electronic device,0.92,False,1.0,1.0,,"The feature consistently highlights LCD/LED screens and digital displays found on vintage audio equipment, synthesizers, and electronic devices."
485,Leafy green vegetables and lettuce,0.92,False,1.0,1.0,,"The feature consistently activates on bright green, textured leaf surfaces characteristic of salad greens, lettuce varieties, and leafy vegetables."
447,Red berries or small fruits,0.95,False,1.0,1.0,,The feature consistently highlights bright red spherical berries and small fruits across various plant species and growth stages.
569,Telephone keypads and buttons,0.92,False,1.0,1.0,,All highlighted regions consistently show the numeric keypad/button arrays found on telephone devices across different eras and styles.
586,Circular metallic rings or loops,0.85,False,1.0,1.0,,"The feature consistently highlights circular ring-shaped metallic components, connectors, and curved metal elements across various industrial and mechanical objects."
579,Tall vertical flower spikes,0.92,False,1.0,1.0,,"The feature consistently activates on elongated, columnar flowering structures that grow vertically with flowers densely packed along a central axis."
572,Bus front lower entrance area,0.92,False,1.0,1.0,,"The feature consistently highlights the lower front section of buses, particularly around the entrance door and bumper region across diverse bus types and colors."
557,ocean waves and white water,0.92,False,1.0,1.0,,"The feature consistently highlights breaking waves, wave crests, foam, and turbulent water where waves interact with the shore or each other."
597,flame or burning wick,0.95,False,1.0,1.0,,"The feature consistently highlights the bright, glowing flame/wick region of candles, torches, and similar fire sources across all examples."
