feature,label,confidence,polysemantic,bal_acc,f1,fire_count,notes
78,Camera tripods,0.98,False,1.0,1.0,,"All 16 images show various styles and angles of camera tripods, a common photography equipment support structure with three legs."
6,Water lilies with prominent yellow centers,0.95,False,1.0,1.0,,"All images show water lily flowers with characteristic radial petal arrangement and bright yellow stamens in the center, either white, pink, or pale-colored petals."
58,Flowers with prominent yellow stamens,0.92,False,1.0,1.0,,"All images consistently show blooming flowers featuring distinct yellow stamen centers, predominantly peonies and roses in various colors."
44,Melon fruit cross-sections,0.95,False,1.0,1.0,,"All images show cut melons (cantaloupe, honeydew, or similar varieties) displaying their interior flesh, seeds, and characteristic radial seed cavity patterns."
5,Yellow clustered flowers,0.95,False,1.0,1.0,,"All images show bright yellow flowers with dense, umbel-like or flat-topped cluster formations, characteristic of plants like yarrow or tansy."
25,Candy corn,0.95,False,1.0,1.0,,"All images show the characteristic tri-colored kernel corn candy (yellow, orange, and white) in various close-up compositions and arrangements."
70,Candle flame,0.98,False,1.0,1.0,,"All images show lit candles with visible flames against dark backgrounds, capturing the characteristic warm glow and flame structure of burning candles."
18,Yellow daisy-like flowers,0.95,False,1.0,1.0,,All images feature bright yellow flowers with prominent dark centers and radiating petals characteristic of daisies or similar composite flowers.
42,Envelopes and stationery paper,0.85,False,1.0,1.0,,"The images consistently show envelopes, letter paper, notecards, and related written correspondence materials, often featuring text, handwriting, or decorative elements."
80,Wine and spirits bottle labels,0.92,False,1.0,1.0,,"All images show close-up photographs of alcoholic beverage bottles (wine, beer, spirits) with visible labels and branding."
71,Thistle flower heads and seedheads,0.85,False,1.0,1.0,,"Images predominantly show thistles in various stages from blooming flowers with spiky bracts to mature spherical seedheads, characterized by their distinctive prickly, radial structure."
154,Baked bread with glossy surface,0.92,False,1.0,1.0,,"All images show baked bread products with characteristic golden-brown, shiny, or glazed surfaces, including loaves, rolls, and pastries."
148,Pink small clustered flowers,0.92,False,1.0,1.0,,"All images show small pink or purple flowers growing in dense clusters, with characteristic 5-petaled blooms typical of saxifrage or similar alpine flowering plants."
155,Yellow lemons and citrus fruits,0.95,False,1.0,1.0,,"Nearly all images show yellow citrus fruits, predominantly lemons, with characteristic bumpy textured skin and oval shape."
109,Large ships and ferries,0.95,False,1.0,1.0,,"All images show large maritime vessels including cargo ships, passenger ferries, and container ships photographed from the water or dock."
138,Small white flowers with yellow centers,0.92,False,1.0,1.0,,"Nearly all images show delicate white or pale pink flowers with prominent yellow stamens, predominantly small spring flowers like anemones or similar species."
16,Automotive transmission gears and clutches,0.95,False,1.0,1.0,,"All images show internal mechanical components of vehicle transmissions, featuring gears, friction plates, and clutch assemblies in various states of assembly or disassembly."
119,Yellow clustered flowers or blossoms,0.95,False,1.0,1.0,,"All images show densely packed yellow flowers with spherical or fuzzy cluster formations, consistent with species like mimosa or similar flowering plants."
135,Brain anatomy and neuroscience diagrams,0.95,False,1.0,1.0,,"All images show anatomical illustrations or visualizations of the human brain from various angles and perspectives, often with color-coded regions and labels."
160,Gerbera daisies or similar daisy flowers,0.95,False,1.0,1.0,,"All images show bright yellow, orange, or orange-red daisy-like flowers with prominent dark centers and radial petal arrangements, consistent with Gerbera jamesonii or related species."
143,Purple thistle flowers,0.92,False,1.0,1.0,,"All images show purple/lavender colored thistle or thistle-like flowers with characteristic spiky, clustered petals in various stages of bloom."
164,Linear parallel striations in plant leaves,0.95,False,1.0,1.0,,"All images show elongated linear patterns, primarily parallel leaf veins and striations characteristic of monocot plant leaves."
163,Clustered flowering plants,0.95,False,1.0,1.0,,"All images show dense, mounded clusters of small flowers characteristic of plants like asters, phlox, or similar ornamental flowering shrubs with dense inflorescences."
113,Red tubular flower clusters,0.95,False,1.0,1.0,,"All images show flowers with densely packed, elongated red or orange tubular petals arranged in vertical clusters, characteristic of flowers like Indian paintbrush or similar tubular inflorescences."
129,Rose flowers close-up view,0.98,False,1.0,1.0,,"All images show roses captured in extreme close-up, emphasizing the spiral petal structure and velvety texture characteristic of rose blooms."
122,Honeysuckle flowers,0.85,False,1.0,1.0,,"All images show distinctive tubular or trumpet-shaped flowers with prominent stamens, characteristic of honeysuckle species, often with paired opposite leaves."
173,Computer workstations and displays,0.92,False,1.0,1.0,,All images show desktop or laptop computer setups with illuminated monitors in various indoor office and workspace environments.
88,Formal dress shoes,0.95,False,1.0,1.0,,"All images show men's formal leather dress shoes in various styles including oxfords, loafers, and wingtips, predominantly in black and brown colors."
201,Yellow primrose flowers,0.92,False,1.0,1.0,,"All images show clustered yellow flowers with characteristic primrose morphology, including drooping bell-shaped blooms and typical foliage."
195,Yellow flowers with clustered petals,0.95,False,1.0,1.0,,"All images show small yellow flowers with multiple petals arranged in dense clusters, characteristic of buttercups and similar flowering plants."
102,Vinyl records and turntables,0.98,False,1.0,1.0,,"All images show vinyl records, record players, turntables, or both in various contexts and settings."
216,Creamy soup in a bowl,0.95,False,1.0,1.0,,"All images show various types of cream-based or pureed soups served in bowls, often garnished with spices or herbs on top."
240,Lit candle flame,0.98,False,1.0,1.0,,"All images show candles with glowing flames against dark backgrounds, consistently depicting the flame and warm light as the central visual element."
179,Mushrooms and fungi,0.98,False,1.0,1.0,,All images show various mushroom species displaying characteristic umbrella-shaped caps and stems in natural forest settings.
196,Knitted yarmulke or decorative skullcap,0.92,False,1.0,1.0,,"All images show crocheted or knitted dome-shaped caps with distinctive striped or patterned trim bands, characteristic of Jewish religious headwear or similar knitted ceremonial caps."
206,analog wall clocks,0.98,False,1.0,1.0,,All 16 images show traditional analog clocks with circular faces and hour/minute hands as the primary visual focus.
